model_name,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std
catboost,0.8484715334881677,0.01022850412223024,0.7913151456103493,0.014124094877446421,0.8823822761508417,0.010767825713479872
dl_mlp,0.8491620111731844,,0.7906976744186046,,0.883399209486166,
xgboost,0.8428849413093967,0.01576082121396002,0.7822492876513097,0.024899757017079777,0.8839633322596908,0.010884174272817996
lightgbm,0.8361433682756887,0.017142531845739824,0.7738712366184782,0.024810172715179046,0.8797622361487656,0.009357110914076794
baseline_logreg,0.8293955181721172,0.010562583457837595,0.7709893700183266,0.013792587614219875,0.8720751219224319,0.016415532521866838
